english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_acceptable,context
"Leave, offender.","Gå, gärningsmannen.","Lämna, din syndare","Ge dig av, förbrytare.","[""GR"", ""SEM"", ""BET""]",False,"[""It's wonderful to belong to the king."", ""Open your eyes to the new world, Annie."", ""The world will appear brighter."", ""In the name of our Lord Jesus Christ, don't listen to them."", ""Reject."", ""JONATHAN:"", ""Don't listen to them."", ""Reject."", ""Damned demon, I won't let you kill this child."", ""Leave them, demon.""]"
"Burn, damnation.","Bränn, fördömelse.","Brinn, fördömelse","Brinn, förbannelse.","[""GR"", ""BET""]",False,"[""Burn, damnation."", ""Come on."", ""Come on!"", ""(ENGINE STALLING)"", ""- Come on."", ""- The battery is dead."", ""Burn, demon."", ""Peter, they're coming!"", ""(ENGINE STALLING)"", ""(SCREAMING)""]"
"Burn, demon.","Bränn, demon.","Brinn, demon","Brinn, demon.","[""GR"", ""BET""]",True,"[""Kill him!"", ""Kill him!"", ""(SCREAMING)"", ""(CHOKING)"", ""Burn, damnation."", ""Come on."", ""Come on!"", ""(ENGINE STALLING)"", ""- Come on."", ""- The battery is dead.""]"
What's the difference between horses and us?,Vad är skillnaden mellan hästar och oss?,Vad skiljer oss från hästar?,Vad är skillnaden mellan hästar och oss?,"[""DIR"", ""PR""]",False,"[""(SCREAMING)"", ""Burn, damnation."", ""Burn."", ""(EXPLOSION)"", ""(FIRE CRACKLING)"", ""Oh, it's over."", ""It's finally over."", ""(EERIE MUSIC PLAYING)"", ""ROTTEN COPS VS."", ""ROTTEN COPS""]"
Horses don't know what they're running after and neither do we.,Hästar vet inte vad de springer efter och inte vi heller.,"Hästar vet inte vad de springer efter, och det gör inte heller vi.",Hästar vet inte vad de springer efter och det gör inte vi heller.,"[""PR""]",False,"[""Burn, damnation."", ""Burn."", ""(EXPLOSION)"", ""(FIRE CRACKLING)"", ""Oh, it's over."", ""It's finally over."", ""(EERIE MUSIC PLAYING)"", ""ROTTEN COPS VS."", ""ROTTEN COPS"", ""What's the difference between horses and us?""]"
He held her back.,Han höll henne tillbaka.,Han hindrade henne från det.,Han höll tillbaka henne.,"[""DIR"", ""SEM""]",False,"[""ROTTEN COPS VS."", ""ROTTEN COPS"", ""What's the difference between horses and us?"", ""Horses don't know what they're running after and neither do we."", ""Stop at that bar for a moment."", ""Just a moment."", ""I'm listening, my son."", ""-206, guaranteed."", ""Catlina?"", ""She's never won a race.""]"
"I'm not a chief, but I'll lend you 50 bucks.","Jag är ingen hövding, men jag lånar dig 50 dollar.","Jag är ingen polischef, men jag lånar dig 50 dollar","Jag är ingen chef, men jag kan låna dig femtio spänn.","[""LF"", ""BET""]",False,"[""Catlina!"", ""I'd be surprised."", ""Stop for a moment."", ""I want to get out."", ""I've almost got him."", ""Old idiot."", ""A win for 210."", ""-Bet this."", ""210, chief."", ""-You'll lose.""]"
Casse-tête and Cactus are coming equal.,Casse-tête och Cactus är på väg lika.,Casse-tête och Cactus ligger jämnt till,Casse-tête och Cactus ligger jämsides.,"[""DIR"", ""LF""]",False,"[""A win for 206."", ""Not the 206."", ""-What?"", ""210."", ""The info was wrong."", ""Marie, you gave me the 206."", ""I wanted the 210."", ""The 210."", ""In the second race, Cactus is off to a good start."", ""Catlina has never won yet, but...""]"
"If that happens, I'll ask for a transfer to Lourdes.",Om det händer ber jag om förflyttning till Lourdes.,Händer det så ber jag om förflyttning till Lourdes,Om det händer ber jag om förflyttning till Lourdes.,"[""DIR"", ""PR""]",False,"[""Marie, you gave me the 206."", ""I wanted the 210."", ""The 210."", ""In the second race, Cactus is off to a good start."", ""Catlina has never won yet, but..."", ""Casse-t\u00eate and Cactus are coming equal."", ""Catlina's coming last."", ""100 meters before the finish Casse-t\u00eate and Cactus come first."", ""She hasn't lost yet."", ""She could still catch up.""]"
Catlina's ended last.,Catlina har slutat sist.,Catlina slutade sist,Catlina slutade sist.,"[""DIR"", ""PR""]",True,"[""The 210."", ""In the second race, Cactus is off to a good start."", ""Catlina has never won yet, but..."", ""Casse-t\u00eate and Cactus are coming equal."", ""Catlina's coming last."", ""100 meters before the finish Casse-t\u00eate and Cactus come first."", ""She hasn't lost yet."", ""She could still catch up."", ""If that happens, I'll ask for a transfer to Lourdes."", ""I don't think so.""]"
You'll win it back in the next race.,Du vinner tillbaka i nästa lopp.,Du vinner tillbaks det i nästa lopp,Du vinner tillbaka det i nästa lopp.,"[""SAK"", ""PR""]",True,"[""Casse-t\u00eate and Cactus are coming equal."", ""Catlina's coming last."", ""100 meters before the finish Casse-t\u00eate and Cactus come first."", ""She hasn't lost yet."", ""She could still catch up."", ""If that happens, I'll ask for a transfer to Lourdes."", ""I don't think so."", ""Catlina's ended last."", ""Bravo."", ""I've won, chief.""]"
Your mouth is a bit too big.,Din mun är lite för stor.,Du är lite för stor i mun,Du har lite väl stor käft.,"[""ID"", ""DIR"", ""BET""]",False,"[""I knew you were good, but now you've surprised me."", ""How much do you want?"", ""-100."", ""I already paid my bit."", ""-This isn't about your monthly payment."", ""I'm asking for a loan."", ""I would have loved to, but I just lost a lot."", ""Don't talk bullshit."", ""-I'm a poor bastard, Ren\u00e9."", ""And the bastard doesn't care about you.""]"
"At your age, you shouldn't use the stairs.",I din ålder ska du inte gå i trapporna.,I din ålder bör man inte ta trapporna.,I din ålder borde du inte använda trapporna.,"[""SEM""]",True,"[""-I'm a poor bastard, Ren\u00e9."", ""And the bastard doesn't care about you."", ""-Your mouth is a bit too big."", ""You don't scare me."", ""We only pay you because we pity you."", ""You're history, Ren\u00e9."", ""We'll soon drop you."", ""Like a piece of shit."", ""Take this."", ""For the cable-lift.""]"
"Sergeant, come here please.","Sergeant, kom hit, snälla.","Sergeant, kom hit är du snäll","Sergeant, kom hit tack.","[""DIR"", ""PR""]",True,"[""We'll soon drop you."", ""Like a piece of shit."", ""Take this."", ""For the cable-lift."", ""At your age, you shouldn't use the stairs."", ""Don't forget to give me back the change."", ""You should play outside in this weather."", ""Maybe there's a way to get you out."", ""No, no, forget I said that."", ""What do we have to do?""]"
50 m from the finish.,50 m från målgången.,50 meter från mållinjen,50 meter kvar till mål.,"[""LF"", ""BET""]",False,"[""Sergeant, come here please."", ""Open it up."", ""Do you want to interrogate them?"", ""-No, they're free to go."", ""But you arrested them today."", ""-A mistake."", ""And 802, Bye-Bye-Money, is coming first."", ""802's making us rich."", ""How much did you bet?"", ""Everything.""]"
"Bye-Bye-Money still leading followed by Bella-Marie and Seigneur, battling over 2nd place.","Bye-Bye-Money fortfarande leder följt av Bella-Marie och Seigneur, slåss över 2: a plats.","Bye-Bye-Money fortfarande i ledning, tätt efter ligger Bella-Marie och Seigneur som kämpar för andraplatsen","Bye-Bye-Money leder fortfarande, följd av Bella-Marie och Seigneur som kämpar om andraplatsen.","[""DIR"", ""GR"", ""SEM""]",True,"[""Open it up."", ""Do you want to interrogate them?"", ""-No, they're free to go."", ""But you arrested them today."", ""-A mistake."", ""And 802, Bye-Bye-Money, is coming first."", ""802's making us rich."", ""How much did you bet?"", ""Everything."", ""50 m from the finish.""]"
Didn't I let those two go?,Släppte jag inte de två?,Släppte inte jag de där två?,Släppte jag inte iväg de där två?,"[""GR"", ""PR""]",False,"[""Everything."", ""50 m from the finish."", ""Bye-Bye-Money still leading followed by Bella-Marie and Seigneur, battling over 2nd place."", ""And 802 wins without a problem."", ""Bastard!"", ""-Fucking asshole!"", ""What happened?"", ""-You're fucking us over."", ""What's with the noise?"", ""-Give them local anaesthesia.""]"
"(Do you know him?) By name, like everybody.","(Känner du honom?) Vid namn, som alla andra.","(Känner du honom?) Till namnet, som alla andra","(Till namnet, som alla andra.)","[""PR""]",False,"[""Bastard!"", ""-Fucking asshole!"", ""What happened?"", ""-You're fucking us over."", ""What's with the noise?"", ""-Give them local anaesthesia."", ""Didn't I let those two go?"", ""-Straight away, they assault a receiver."", ""Albert Le Fourgue."", ""Do you know him?""]"
"Luckily, François was around and he arrested them.",Som tur var var François i närheten och grep dem.,Turligt nog var François där och grep dem.,Som tur var fanns François i närheten och han grep dem.,"[""PR""]",False,"[""-Fucking asshole!"", ""What happened?"", ""-You're fucking us over."", ""What's with the noise?"", ""-Give them local anaesthesia."", ""Didn't I let those two go?"", ""-Straight away, they assault a receiver."", ""Albert Le Fourgue."", ""Do you know him?"", ""-By name, like everybody.""]"
There's nobody left.,Det finns ingen kvar.,Ingen är kvar,Det finns ingen kvar.,"[""DIR"", ""SEM""]",False,"[""-Give them local anaesthesia."", ""Didn't I let those two go?"", ""-Straight away, they assault a receiver."", ""Albert Le Fourgue."", ""Do you know him?"", ""-By name, like everybody."", ""Luckily, Fran\u00e7ois was around and he arrested them."", ""Is Fran\u00e7ois in his office?"", ""-No."", ""Young people need their 8 hours of sleep.""]"
You take your job too seriously.,Du tar ditt jobb för allvarligt.,Du tar ditt jobb på för stort allvar,Du tar ditt jobb på alldeles för stort allvar.,"[""DIR"", ""GR"", ""PR""]",False,"[""Do you know him?"", ""-By name, like everybody."", ""Luckily, Fran\u00e7ois was around and he arrested them."", ""Is Fran\u00e7ois in his office?"", ""-No."", ""Young people need their 8 hours of sleep."", ""There's nobody left."", ""Did he write a report?"", ""You should dry your tears and go home."", ""I have work to do.""]"
"Well, that's me.",Det är jag.,"Tja, det är jag det","Tja, sån är jag.","[""SAK"", ""SEM""]",True,"[""-By name, like everybody."", ""Luckily, Fran\u00e7ois was around and he arrested them."", ""Is Fran\u00e7ois in his office?"", ""-No."", ""Young people need their 8 hours of sleep."", ""There's nobody left."", ""Did he write a report?"", ""You should dry your tears and go home."", ""I have work to do."", ""-You take your job too seriously.""]"
I'm glad you recognized her.,Jag är glad att du kände igen henne.,Vad bra att du kände igen henne,Jag är glad att du kände igen henne.,"[""DIR"", ""PR""]",False,"[""There's nobody left."", ""Did he write a report?"", ""You should dry your tears and go home."", ""I have work to do."", ""-You take your job too seriously."", ""Well, that's me."", ""Come with me, everybody."", ""Good evening."", ""This one."", ""She's Fran\u00e7ois' fianc\u00e9e.""]"
We would have made a big mistake.,Vi skulle ha gjort ett stort misstag.,Vi kunde begått ett stort misstag,Vi hade begått ett stort misstag.,"[""LF"", ""BET""]",False,"[""Did he write a report?"", ""You should dry your tears and go home."", ""I have work to do."", ""-You take your job too seriously."", ""Well, that's me."", ""Come with me, everybody."", ""Good evening."", ""This one."", ""She's Fran\u00e7ois' fianc\u00e9e."", ""-I'm glad you recognized her.""]"
Take her with you.,Ta henne med dig.,Ta med henne,Ta med henne.,"[""DIR"", ""PR""]",True,"[""You should dry your tears and go home."", ""I have work to do."", ""-You take your job too seriously."", ""Well, that's me."", ""Come with me, everybody."", ""Good evening."", ""This one."", ""She's Fran\u00e7ois' fianc\u00e9e."", ""-I'm glad you recognized her."", ""We would have made a big mistake.""]"
I'll swap her for my dudes.,Jag byter henne mot mina killar.,Jag byter ut henne mot mina grabbar,Jag byter henne mot mina grabbar.,"[""DIR"", ""SEM""]",False,"[""-Go."", ""Are you crazy or is this mid-life crisis?"", ""-I'm not crazy at all."", ""Fran\u00e7ois will beat you up."", ""-I'd like to see that."", ""What's wrong with you, Ren\u00e9?"", ""-Just a bit of malaria."", ""Aren't you asleep?"", ""I can't sleep alone."", ""Why did you take her in?""]"
"True, we have to talk.",Det är sant att vi måste prata.,"Sant, vi måste prata","Sant, vi måste prata.","[""ADD"", ""SEM""]",True,"[""-I'm not crazy at all."", ""Fran\u00e7ois will beat you up."", ""-I'd like to see that."", ""What's wrong with you, Ren\u00e9?"", ""-Just a bit of malaria."", ""Aren't you asleep?"", ""I can't sleep alone."", ""Why did you take her in?"", ""I'll swap her for my dudes."", ""Ren\u00e9, we can't continue like this.""]"
"At 12 at Fernand's, like always?","Vid 12 på Fernand's, som alltid?","Vid tolv på Fernands, som vanligt?","Klockan tolv hos Fernand, som alltid?","[""GR"", ""PR""]",False,"[""Fran\u00e7ois will beat you up."", ""-I'd like to see that."", ""What's wrong with you, Ren\u00e9?"", ""-Just a bit of malaria."", ""Aren't you asleep?"", ""I can't sleep alone."", ""Why did you take her in?"", ""I'll swap her for my dudes."", ""Ren\u00e9, we can't continue like this."", ""True, we have to talk.""]"
A dip.,Ett dopp.,En svacka,Ett dopp.,"[""LF"", ""BET""]",False,"[""Do you want to order or wait?"", ""-I told you I'm waiting for Fran\u00e7ois."", ""Ah, dear Fran\u00e7ois."", ""Sit down."", ""Well?"", ""Let's have it."", ""-I already had lunch."", ""In a cheaper place?"", ""-I don't want free meals anymore."", ""At your age, I also had a crisis.""]"
No more crooked stuff.,Inga mer krokiga grejer.,Inga fler skumraskaffärer.,Inget mer skumt.,"[""SL"", ""BET""]",False,"[""Ah, dear Fran\u00e7ois."", ""Sit down."", ""Well?"", ""Let's have it."", ""-I already had lunch."", ""In a cheaper place?"", ""-I don't want free meals anymore."", ""At your age, I also had a crisis."", ""A dip."", ""I'm still young.""]"
I want to do honest work.,Jag vill göra ett ärligt arbete.,Jag vill göra hederligt arbete,Jag vill göra hederligt arbete.,"[""SEM"", ""PR""]",True,"[""Sit down."", ""Well?"", ""Let's have it."", ""-I already had lunch."", ""In a cheaper place?"", ""-I don't want free meals anymore."", ""At your age, I also had a crisis."", ""A dip."", ""I'm still young."", ""No more crooked stuff.""]"
"When I'll have kids, they should be proud of their dad.",När jag får barn borde de vara stolta över sin pappa.,När jag får barn ska de få vara stolta över sin pappa,När jag får barn ska de vara stolta över sin pappa.,"[""PR""]",False,"[""-I already had lunch."", ""In a cheaper place?"", ""-I don't want free meals anymore."", ""At your age, I also had a crisis."", ""A dip."", ""I'm still young."", ""No more crooked stuff."", ""I want to do honest work."", ""-Are you leaving us?"", ""No.""]"
Out with it.,Utgå.,Ut med det.,Fram med det.,"[""LF"", ""BET""]",False,"[""We know everything."", ""-But I'm a banker."", ""Ah, that comes in handy."", ""200,000 for 100 years, what's that per month?"", ""I'm Michel Blanchard."", ""-There!"", ""People know me here."", ""-You're mainly known in our files."", ""No!"", ""Come on.""]"
I'm working on something.,Jag jobbar på nåt.,Jag jobbar på en grej.,Jag jobbar på något.,"[""PR""]",True,"[""When I'll have kids, they should be proud of their dad."", ""Funny, I'm no longer hungry."", ""So?"", ""Don't get angry, Ren\u00e9, but..."", ""What's wrong?"", ""Nothing."", ""Why should I be angry?"", ""-It's just..."", ""What is it, damnit?"", ""Out with it.""]"
Working on a deal?,Jobbar du på ett avtal?,Jobbar du på en affär?,Jobbar du på en affär?,"[""LF"", ""BET""]",True,"[""Funny, I'm no longer hungry."", ""So?"", ""Don't get angry, Ren\u00e9, but..."", ""What's wrong?"", ""Nothing."", ""Why should I be angry?"", ""-It's just..."", ""What is it, damnit?"", ""Out with it."", ""I'm working on something.""]"
Not what you think.,Inte vad du tror.,Inte som du tror,Inte som du tror.,"[""DIR"", ""PR""]",True,"[""So?"", ""Don't get angry, Ren\u00e9, but..."", ""What's wrong?"", ""Nothing."", ""Why should I be angry?"", ""-It's just..."", ""What is it, damnit?"", ""Out with it."", ""I'm working on something."", ""Working on a deal?""]"
The chief's exam.,Chefens prov.,Chefsprovet,Chefsexamen.,"[""LF"", ""BET""]",False,"[""What's wrong?"", ""Nothing."", ""Why should I be angry?"", ""-It's just..."", ""What is it, damnit?"", ""Out with it."", ""I'm working on something."", ""Working on a deal?"", ""-Not what you think."", ""What are you working on?""]"
"With you as chief, we'll make a lot of money.",Med dig som chef tjänar vi mycket pengar.,Med dig som polischef kommer vi tjäna mycket pengar,Med dig som chef kommer vi tjäna massor med pengar.,"[""SAK"", ""PR""]",True,"[""-It's just..."", ""What is it, damnit?"", ""Out with it."", ""I'm working on something."", ""Working on a deal?"", ""-Not what you think."", ""What are you working on?"", ""The chief's exam."", ""Oh well."", ""Not such a bad idea.""]"
On your chief's salary?,På din chefs lön?,På din chefslön?,På din chefs­lön?,"[""LF"", ""BET""]",True,"[""The chief's exam."", ""Oh well."", ""Not such a bad idea."", ""With you as chief, we'll make a lot of money."", ""You don't understand."", ""You could even send Natasha out on the street."", ""Natasha's not a whore."", ""-No, she's a hostess in a whores' bar."", ""I'll get her out of there."", ""-Will you buy her a business?""]"
I'm sure there will be a bank that gives you a 100 year credit.,Jag är säker på att det kommer att finnas en bank som ger dig 100 års kredit.,Jag är säker på att det kommer finnas någon bank som ger dig ett hundraårigt lån,Jag är säker på att det finns en bank som ger dig hundra års kredit.,"[""DIR"", ""SEM""]",False,"[""Oh well."", ""Not such a bad idea."", ""With you as chief, we'll make a lot of money."", ""You don't understand."", ""You could even send Natasha out on the street."", ""Natasha's not a whore."", ""-No, she's a hostess in a whores' bar."", ""I'll get her out of there."", ""-Will you buy her a business?"", ""On your chief's salary?""]"
"If you go straight, people will be pointing the finger at you.","Om du går rakt på sak, kommer folk att peka finger åt dig.","Blir du laglydig/hederlig så kommer folk lägga
skulden på dig.",Om du går rakryggad kommer folk att peka finger åt dig.,"[""SL"", ""DIR"", ""BET""]",False,"[""-No, she's a hostess in a whores' bar."", ""I'll get her out of there."", ""-Will you buy her a business?"", ""On your chief's salary?"", ""I'm sure there will be a bank that gives you a 100 year credit."", ""You don't believe in anything."", ""-The Racing News is my bible."", ""And the holy trinity is getting numbers 1 to 3 right."", ""Life's not just about shady deals."", ""Yeah right.""]"
You'd be the only straight one in the whole rotten city.,Du skulle vara den enda raka i hela den ruttna staden.,Du blir den enda laglydiga i hela den här ruttna staden,Du skulle vara den enda hederliga i hela den ruttna staden.,"[""SL"", ""DIR"", ""BET""]",False,"[""I'll get her out of there."", ""-Will you buy her a business?"", ""On your chief's salary?"", ""I'm sure there will be a bank that gives you a 100 year credit."", ""You don't believe in anything."", ""-The Racing News is my bible."", ""And the holy trinity is getting numbers 1 to 3 right."", ""Life's not just about shady deals."", ""Yeah right."", ""If you go straight, people will be pointing the finger at you.""]"
There's not an honest guy to be found.,Det finns ingen ärlig kille att hitta.,Det går inte att hitta en enda ärlig kille,Det finns inte en ärlig kille att hitta.,"[""PR""]",False,"[""On your chief's salary?"", ""I'm sure there will be a bank that gives you a 100 year credit."", ""You don't believe in anything."", ""-The Racing News is my bible."", ""And the holy trinity is getting numbers 1 to 3 right."", ""Life's not just about shady deals."", ""Yeah right."", ""If you go straight, people will be pointing the finger at you."", ""You'd be the only straight one in the whole rotten city."", ""Give me a break.""]"
Confess to what?,Bekänna vad?,Bekänna vadå?,Bekänna vadå?,"[""PR""]",True,"[""If you go straight, people will be pointing the finger at you."", ""You'd be the only straight one in the whole rotten city."", ""Give me a break."", ""-There's not an honest guy to be found."", ""And I can prove it."", ""See those stairs?"", ""We arrest the first person who comes down those stairs."", ""Interesting."", ""After half an hour of interrogation, he'll confess."", ""Sure.""]"
"Listen, this must be a mistake, because...","Det måste vara ett misstag, för...","Lyssna, det här måste vara ett misstag, för att...","Lyssna, det här måste vara ett misstag, för…","[""SAK"", ""PR""]",True,"[""We arrest the first person who comes down those stairs."", ""Interesting."", ""After half an hour of interrogation, he'll confess."", ""Sure."", ""Confess to what?"", ""-How do I know?"", ""Something."", ""Police."", ""I'm taking you in."", ""Get in.""]"
You're mistaken.,Du har fel.,Ni har fel,Du tar fel.,"[""GR""]",False,"[""Sure."", ""Confess to what?"", ""-How do I know?"", ""Something."", ""Police."", ""I'm taking you in."", ""Get in."", ""Listen, this must be a mistake, because..."", ""I knew we'd find you sooner or later."", ""You didn't make it easy.""]"
"Ah, that comes in handy.",Det kommer väl till pass.,"Ah, det var ju passande","Ah, det passar bra.","[""SEM"", ""PR""]",False,"[""Something."", ""Police."", ""I'm taking you in."", ""Get in."", ""Listen, this must be a mistake, because..."", ""I knew we'd find you sooner or later."", ""You didn't make it easy."", ""-You're mistaken."", ""We know everything."", ""-But I'm a banker.""]"
What?,Vad?,Va?,Vad?,"[""SEM""]",False,"[""Oh, I know."", ""You don't want me in show business, but someday, in spite of you, opportunity will knock and what'll happen?"", ""I'll be so big and fat,"", ""I won't be able to get up and open the door."", ""-(phone rings)"", ""- Oh, honey, forget it."", ""You look wonderful."", ""(phone rings)"", ""Hello?"", ""Hi, Jerry.""]"
Bad luck.,Dålig tur.,Otur,Oturen.,"[""DIR"", ""BET""]",False,"[""- Any other messages?"", ""- No, sir."", ""- A dull afternoon."", ""- We can't all be lucky."", ""Oh, yes!"", ""There was a young man who came to the door."", ""What did he want?"", ""I don't know, sir."", ""He was some sort of salesman, I think."", ""I went and answered the door, then the phone rang and by the time I got back he'd gone.""]"
"When I fall asleep thinking of horses, I have great dreams.",När jag somnar när jag tänker på hästar har jag stora drömmar.,"Tänker jag på hästar när jag somnar har jag
underbara drömmar.",När jag somnar och tänker på hästar har jag underbara drömmar.,"[""SEM"", ""PR""]",True,"[""Shut up."", ""-I'll tell you everything."", ""I have to explain."", ""-Get lost."", ""You won."", ""-I'd rather have lost."", ""No more sleeping pills."", ""You promised."", ""I can't sleep."", ""-Count horses.""]"
Mugging in the Rue Norvin.,Muggar på Rue Norvin.,Rån på Rue Norvin,Rån på Rue Norvin.,"[""LF"", ""BET""]",True,"[""You'll find a new one, who's more grateful."", ""I placed all my bets on Fran\u00e7ois."", ""He was my last one."", ""Going after the girls won't make you a chief."", ""There are no miracles."", ""You have to work hard."", ""Get your book out."", ""Get it out."", ""Study."", ""Becoming a chief is harder than becoming a pimp.""]"
Assailant wears a blue jacket.,Gärningsmannen bär en blå jacka.,Angriparen iklädd blå jacka,Gärningsman bär blå jacka.,"[""ST"", ""PR""]",False,"[""I placed all my bets on Fran\u00e7ois."", ""He was my last one."", ""Going after the girls won't make you a chief."", ""There are no miracles."", ""You have to work hard."", ""Get your book out."", ""Get it out."", ""Study."", ""Becoming a chief is harder than becoming a pimp."", ""Mugging in the Rue Norvin.""]"
That way.,Den vägen.,Ditåt,Ditåt.,"[""DIR"", ""SEM""]",True,"[""These must be our honored guests."", ""What the hell could've done this?"", ""Nothing from this planet."", ""Hold your fire."", ""- We're clear."", ""- Clear."", ""Blue dot, that's us."", ""Red dots, those are our targets."", ""Targets?"", ""There's more than one?""]"
Will the chief please follow me?,Följer chefen efter mig?,Kan chefen vänligen följa med?,Kan chefen följa med mig?,"[""SAK"", ""SEM"", ""BET""]",False,"[""What are you doing?"", ""-Time for the new generation."", ""You're right."", ""You're over the hill."", ""And you want to be a chief."", ""-Give it here."", ""You have a lot to learn."", ""-Give it."", ""Where do you want to go?"", ""-That way.""]"
Our assailant from the Rue Gabriel will take the stairs in the Rue Drevet.,Vår angripare från Rue Gabriel tar trapporna i Rue Drevet.,Vår angripare från Rue Gabriel lär ta trapporna i Rue Drevet,Vår gärningsman från Rue Gabriel tar trapporna vid Rue Drevet.,"[""SAK"", ""BET""]",False,"[""-Time for the new generation."", ""You're right."", ""You're over the hill."", ""And you want to be a chief."", ""-Give it here."", ""You have a lot to learn."", ""-Give it."", ""Where do you want to go?"", ""-That way."", ""Will the chief please follow me?""]"
