english_source,swedish_opus,swedish_human,swedish_gpt,error_tags,gpt_comparison,gpt_error_tags,explanation,problem_description,gpt_comparison_comment,reviewer_suggestion,legacy_tags,context_5,context_10
"Leave, offender.","Gå, gärningsmannen.","Lämna, din syndare","Ge dig av, förbrytare.",['GR' 'SEM' 'BET'],LLM WORSE,['SEM'],Syftar till att befalla en överträdare eller syndare till att lämna platsen,Religiös terminologi som behöver tillämpas korrekt samt grammatiska felaktigheter,LLM alternativ fungerar också,,"Grammatiskt, ordval","['JONATHAN:' ""Don't listen to them."" 'Reject.'
 ""Damned demon, I won't let you kill this child."" 'Leave them, demon.']","[""It's wonderful to belong to the king.""
 'Open your eyes to the new world, Annie.'
 'The world will appear brighter.'
 ""In the name of our Lord Jesus Christ, don't listen to them."" 'Reject.'
 'JONATHAN:' ""Don't listen to them."" 'Reject.'
 ""Damned demon, I won't let you kill this child."" 'Leave them, demon.']"
"Burn, damnation.","Bränn, fördömelse.","Brinn, fördömelse","Brinn, förbannelse.",['GR' 'BET'],LLM WORSE,['LF' 'BET'],Syftar till att någon som är en fördömelse ska brinna,"Fel form av ""brinna""",SÄMREordval av LLM,,Grammatiskt,"['- The battery is dead.' 'Burn, demon.' ""Peter, they're coming!""
 '(ENGINE STALLING)' '(SCREAMING)']","['Burn, damnation.' 'Come on.' 'Come on!' '(ENGINE STALLING)' '- Come on.'
 '- The battery is dead.' 'Burn, demon.' ""Peter, they're coming!""
 '(ENGINE STALLING)' '(SCREAMING)']"
"Burn, demon.","Bränn, demon.","Brinn, demon","Brinn, demon.",['GR' 'BET'],LLM OK,[],Syftar till att en demon ska brinna,"Fel form av ""brinna""",,,Grammatiskt,"['Come on.' 'Come on!' '(ENGINE STALLING)' '- Come on.'
 '- The battery is dead.']","['Kill him!' 'Kill him!' '(SCREAMING)' '(CHOKING)' 'Burn, damnation.'
 'Come on.' 'Come on!' '(ENGINE STALLING)' '- Come on.'
 '- The battery is dead.']"
What's the difference between horses and us?,Vad är skillnaden mellan hästar och oss?,Vad skiljer oss från hästar?,Vad är skillnaden mellan hästar och oss?,['DIR' 'PR'],LLM WORSE,['DIR' 'PR'],Syftar till att ställa människor med hästar mot varandra,Omformulering enligt svensk språkkänsla,Ej semantisk hänsyn av LLM,Vad skiljer oss från hästar?,"Grammatiskt, Semantiskt","[""Oh, it's over."" ""It's finally over."" '(EERIE MUSIC PLAYING)'
 'ROTTEN COPS VS.' 'ROTTEN COPS']","['(SCREAMING)' 'Burn, damnation.' 'Burn.' '(EXPLOSION)' '(FIRE CRACKLING)'
 ""Oh, it's over."" ""It's finally over."" '(EERIE MUSIC PLAYING)'
 'ROTTEN COPS VS.' 'ROTTEN COPS']"
Horses don't know what they're running after and neither do we.,Hästar vet inte vad de springer efter och inte vi heller.,"Hästar vet inte vad de springer efter, och det gör inte heller vi.",Hästar vet inte vad de springer efter och det gör inte vi heller.,['PR'],LLM WORSE,['PR'],Syftar till att påpeka att varken hästar eller människor vet vad de är efter i livet,Omformulering enligt svensk språkkänsla,"LLM alternativ fungerar också, men viktigt att tänka på svenskt språkbruk",,"Ordval, ordföljd","[""It's finally over."" '(EERIE MUSIC PLAYING)' 'ROTTEN COPS VS.'
 'ROTTEN COPS' ""What's the difference between horses and us?""]","['Burn, damnation.' 'Burn.' '(EXPLOSION)' '(FIRE CRACKLING)'
 ""Oh, it's over."" ""It's finally over."" '(EERIE MUSIC PLAYING)'
 'ROTTEN COPS VS.' 'ROTTEN COPS'
 ""What's the difference between horses and us?""]"
He held her back.,Han höll henne tillbaka.,Han hindrade henne från det.,Han höll tillbaka henne.,['DIR' 'SEM'],LLM WORSE,['DIR' 'SEM'],Syftar till att en person hinfrar en annan i det denne gör,Semantiskt fel på svenska för kontexten och behöver göras mer specifikt,Ej semantisk hänsyn av LLM,,"ordval, semantiskt","['Just a moment.' ""I'm listening, my son."" '-206, guaranteed.' 'Catlina?'
 ""She's never won a race.""]","['ROTTEN COPS VS.' 'ROTTEN COPS'
 ""What's the difference between horses and us?""
 ""Horses don't know what they're running after and neither do we.""
 'Stop at that bar for a moment.' 'Just a moment.'
 ""I'm listening, my son."" '-206, guaranteed.' 'Catlina?'
 ""She's never won a race.""]"
"I'm not a chief, but I'll lend you 50 bucks.","Jag är ingen hövding, men jag lånar dig 50 dollar.","Jag är ingen polischef, men jag lånar dig 50 dollar","Jag är ingen chef, men jag kan låna dig femtio spänn.",['LF' 'BET'],LLM WORSE,['LF' 'BET'],Syftar till att en person inte är chef och därmed har begränsade resurser men kan låna ut pengar ändå,"Chief syftar till chef, specifikt polischef. ""chief"" finns inte i svenskan som uttryck med samma funktion",Utbyte av valuta,,Ordval,"['Old idiot.' 'A win for 210.' '-Bet this.' '210, chief.' ""-You'll lose.""]","['Catlina!' ""I'd be surprised."" 'Stop for a moment.' 'I want to get out.'
 ""I've almost got him."" 'Old idiot.' 'A win for 210.' '-Bet this.'
 '210, chief.' ""-You'll lose.""]"
Casse-tête and Cactus are coming equal.,Casse-tête och Cactus är på väg lika.,Casse-tête och Cactus ligger jämnt till,Casse-tête och Cactus ligger jämsides.,['DIR' 'LF'],LLM WORSE,['PR'],Syftar till två hästar som ligger lika till i ett lopp,Vid situationer om jämna odds eller placering behövs omformulering,LLM alternativ fungerar också,,"Grammatiskt, semantiskt","['Marie, you gave me the 206.' 'I wanted the 210.' 'The 210.'
 'In the second race, Cactus is off to a good start.'
 'Catlina has never won yet, but...']","['A win for 206.' 'Not the 206.' '-What?' '210.' 'The info was wrong.'
 'Marie, you gave me the 206.' 'I wanted the 210.' 'The 210.'
 'In the second race, Cactus is off to a good start.'
 'Catlina has never won yet, but...']"
"If that happens, I'll ask for a transfer to Lourdes.",Om det händer ber jag om förflyttning till Lourdes.,Händer det så ber jag om förflyttning till Lourdes,Om det händer ber jag om förflyttning till Lourdes.,['DIR' 'PR'],LLM WORSE,['DIR' 'PR'],Syftar till att be om förflyttning om en incident inträffar,Ordföljd skiftar vid fraser om orsak i svenska,(O) - LLM tar ej hänsyn till skiftande ordföljd i kausala fraser,,"Ordföljd, ordval","['Casse-tête and Cactus are coming equal.' ""Catlina's coming last.""
 '100 meters before the finish Casse-tête and Cactus come first.'
 ""She hasn't lost yet."" 'She could still catch up.']","['Marie, you gave me the 206.' 'I wanted the 210.' 'The 210.'
 'In the second race, Cactus is off to a good start.'
 'Catlina has never won yet, but...'
 'Casse-tête and Cactus are coming equal.' ""Catlina's coming last.""
 '100 meters before the finish Casse-tête and Cactus come first.'
 ""She hasn't lost yet."" 'She could still catch up.']"
Catlina's ended last.,Catlina har slutat sist.,Catlina slutade sist,Catlina slutade sist.,['DIR' 'PR'],LLM OK,[],Syftar till en häst som kommit in sist i mål i ett lopp,Vid ankomst används preteritum och inte perfekt,,,Grammatiskt,"['100 meters before the finish Casse-tête and Cactus come first.'
 ""She hasn't lost yet."" 'She could still catch up.'
 ""If that happens, I'll ask for a transfer to Lourdes.""
 ""I don't think so.""]","['The 210.' 'In the second race, Cactus is off to a good start.'
 'Catlina has never won yet, but...'
 'Casse-tête and Cactus are coming equal.' ""Catlina's coming last.""
 '100 meters before the finish Casse-tête and Cactus come first.'
 ""She hasn't lost yet."" 'She could still catch up.'
 ""If that happens, I'll ask for a transfer to Lourdes.""
 ""I don't think so.""]"
You'll win it back in the next race.,Du vinner tillbaka i nästa lopp.,Du vinner tillbaks det i nästa lopp,Du vinner tillbaka det i nästa lopp.,['SAK' 'PR'],LLM OK,[],Syftar till att någon kommer vinna tillbaka sina pengar i nästa hästkapplöpning,"Saknas referens till att det är ""något"", dvs pengarna, som man vinner tillbaka nästa gång. talspråk",(O) - LLM alternativ fungerar också,,"ordval, grammatiskt","[""If that happens, I'll ask for a transfer to Lourdes.""
 ""I don't think so."" ""Catlina's ended last."" 'Bravo.' ""I've won, chief.""]","['Casse-tête and Cactus are coming equal.' ""Catlina's coming last.""
 '100 meters before the finish Casse-tête and Cactus come first.'
 ""She hasn't lost yet."" 'She could still catch up.'
 ""If that happens, I'll ask for a transfer to Lourdes.""
 ""I don't think so."" ""Catlina's ended last."" 'Bravo.' ""I've won, chief.""]"
Your mouth is a bit too big.,Din mun är lite för stor.,Du är lite för stor i mun,Du har lite väl stor käft.,['ID' 'DIR' 'BET'],LLM WORSE,['ID' 'SEM'],"Syftar till att påpeka att någon säger lite för mycket i en situation, avsläjar lite för mycket",Idiomatiskt uttryck som har svensk motsvarighet men behöver anpassas,"(O) - LLM alternativ fungerar också, dock något mer vulgär",,"semantisktt, ordval, ordföljd","[""I'm asking for a loan."" 'I would have loved to, but I just lost a lot.'
 ""Don't talk bullshit."" ""-I'm a poor bastard, René.""
 ""And the bastard doesn't care about you.""]","[""I knew you were good, but now you've surprised me.""
 'How much do you want?' '-100.' 'I already paid my bit.'
 ""-This isn't about your monthly payment."" ""I'm asking for a loan.""
 'I would have loved to, but I just lost a lot.' ""Don't talk bullshit.""
 ""-I'm a poor bastard, René."" ""And the bastard doesn't care about you.""]"
"At your age, you shouldn't use the stairs.",I din ålder ska du inte gå i trapporna.,I din ålder bör man inte ta trapporna.,I din ålder borde du inte använda trapporna.,['SEM'],LLM BETTER,[],Syftar till att personen börjar bli för gammal för att ta trapporna,Allmän rådgivning/åsikt som inte ska riktas personligen. Omformulering vid bestämd form,"(O) - LLM alternativ använder ""borde"" istället för ""ska"", vilket jag tycker är mer passande vid framförande av allmänt råd/åsikt. ""Ska"" blir mer befallande.",I din ålder bör man inte ta trapporna.,"semantiskt, grammatiskt","[""You're history, René."" ""We'll soon drop you."" 'Like a piece of shit.'
 'Take this.' 'For the cable-lift.']","[""-I'm a poor bastard, René."" ""And the bastard doesn't care about you.""
 '-Your mouth is a bit too big.' ""You don't scare me.""
 'We only pay you because we pity you.' ""You're history, René.""
 ""We'll soon drop you."" 'Like a piece of shit.' 'Take this.'
 'For the cable-lift.']"
"Sergeant, come here please.","Sergeant, kom hit, snälla.","Sergeant, kom hit är du snäll","Sergeant, kom hit tack.",['DIR' 'PR'],LLM OK,[],Syftar till att artigt be personen att komma över,"Vid artighet används ""är du snäll"" som översättning till ""please""","(O) - LLM alternativ fungerar också, dock något strängare och lämnar mindre utrymme för negerande svar, vilket skulle kunna vara lämpligt med tanke på den militära kontexten.",,Ordval,"[""Don't forget to give me back the change.""
 'You should play outside in this weather.'
 ""Maybe there's a way to get you out."" 'No, no, forget I said that.'
 'What do we have to do?']","[""We'll soon drop you."" 'Like a piece of shit.' 'Take this.'
 'For the cable-lift.' ""At your age, you shouldn't use the stairs.""
 ""Don't forget to give me back the change.""
 'You should play outside in this weather.'
 ""Maybe there's a way to get you out."" 'No, no, forget I said that.'
 'What do we have to do?']"
50 m from the finish.,50 m från målgången.,50 meter från mållinjen,50 meter kvar till mål.,['LF' 'BET'],LLM WORSE,['SEM'],Syftar till att något hände 50 meter innan mållinjen,Det är mållinjen som menas här,"(O) - LLM alternativ fungerar okej, men ändrar innebörden något genom att använda ""kvar"" istället för ""från"".",,ordval,"['-A mistake.' 'And 802, Bye-Bye-Money, is coming first.'
 ""802's making us rich."" 'How much did you bet?' 'Everything.']","['Sergeant, come here please.' 'Open it up.'
 'Do you want to interrogate them?' ""-No, they're free to go.""
 'But you arrested them today.' '-A mistake.'
 'And 802, Bye-Bye-Money, is coming first.' ""802's making us rich.""
 'How much did you bet?' 'Everything.']"
"Bye-Bye-Money still leading followed by Bella-Marie and Seigneur, battling over 2nd place.","Bye-Bye-Money fortfarande leder följt av Bella-Marie och Seigneur, slåss över 2: a plats.","Bye-Bye-Money fortfarande i ledning, tätt efter ligger Bella-Marie och Seigneur som kämpar för andraplatsen","Bye-Bye-Money leder fortfarande, följd av Bella-Marie och Seigneur som kämpar om andraplatsen.",['DIR' 'GR' 'SEM'],LLM BETTER,[],"Syftar till en häst som leder, efterföljandes av två andra som känpar för andraplatsen",Omformulering med mer passande ord och ordföljd,"(O) - Föredrar kämpar ""om"" andraplatsen över ""för"". Gör det tydligare att de två kämpar mot varandra med andraplatsen som mål.",,"grammatiskt, ordval, ordföljd","['And 802, Bye-Bye-Money, is coming first.' ""802's making us rich.""
 'How much did you bet?' 'Everything.' '50 m from the finish.']","['Open it up.' 'Do you want to interrogate them?'
 ""-No, they're free to go."" 'But you arrested them today.' '-A mistake.'
 'And 802, Bye-Bye-Money, is coming first.' ""802's making us rich.""
 'How much did you bet?' 'Everything.' '50 m from the finish.']"
Didn't I let those two go?,Släppte jag inte de två?,Släppte inte jag de där två?,Släppte jag inte iväg de där två?,['GR' 'PR'],LLM WORSE,['GR' 'PR'],Syftar till att fråga om personen inte hade släppt iväg de två omtalade personerna,Vid fråga krävs annan ordföljd,(O) - LLM tar ej hänsyn till skiftande ordföljd vid frågor,Släppte inte jag de där två?,"Ordval, ordföljd","['-Fucking asshole!' 'What happened?' ""-You're fucking us over.""
 ""What's with the noise?"" '-Give them local anaesthesia.']","['Everything.' '50 m from the finish.'
 'Bye-Bye-Money still leading followed by Bella-Marie and Seigneur, battling over 2nd place.'
 'And 802 wins without a problem.' 'Bastard!' '-Fucking asshole!'
 'What happened?' ""-You're fucking us over."" ""What's with the noise?""
 '-Give them local anaesthesia.']"
"(Do you know him?) By name, like everybody.","(Känner du honom?) Vid namn, som alla andra.","(Känner du honom?) Till namnet, som alla andra","(Till namnet, som alla andra.)",['PR'],LLM WORSE,['SAK' 'BET'],Syftar till att känna till någon enbart genom namn,Uttryck som behöver omformuleras med hjälp av ett svenskt motsvarande uttryck,"(O) - Meningen i sig fungerar lika bra, men varför parenteserna?",,"semantiskt, grammatiskt","['-Give them local anaesthesia.' ""Didn't I let those two go?""
 '-Straight away, they assault a receiver.' 'Albert Le Fourgue.'
 'Do you know him?']","['Bastard!' '-Fucking asshole!' 'What happened?'
 ""-You're fucking us over."" ""What's with the noise?""
 '-Give them local anaesthesia.' ""Didn't I let those two go?""
 '-Straight away, they assault a receiver.' 'Albert Le Fourgue.'
 'Do you know him?']"
"Luckily, François was around and he arrested them.",Som tur var var François i närheten och grep dem.,Turligt nog var François där och grep dem.,Som tur var fanns François i närheten och han grep dem.,['PR'],LLM WORSE,['PR'],Syftar till att påpeka turen med att personen var i närheten och kunde gripa förövarna,Omformulering enligt svensk språkkänsla,"(O) - LLM fungerar okej men onödigt ""han"". Behöver inte förtydliga subjektet eftersom det är tydligt att det bara finns ett möjligt subjekt.",Turligt nog var François där och grep dem.,ordval,"[""Didn't I let those two go?"" '-Straight away, they assault a receiver.'
 'Albert Le Fourgue.' 'Do you know him?' '-By name, like everybody.']","['-Fucking asshole!' 'What happened?' ""-You're fucking us over.""
 ""What's with the noise?"" '-Give them local anaesthesia.'
 ""Didn't I let those two go?"" '-Straight away, they assault a receiver.'
 'Albert Le Fourgue.' 'Do you know him?' '-By name, like everybody.']"
There's nobody left.,Det finns ingen kvar.,Ingen är kvar,Det finns ingen kvar.,['DIR' 'SEM'],LLM WORSE,['DIR' 'SEM'],Syftar till att det inte finns någon kvar i ett sammanhang,Omformulering enligt svensk språkkänsla och grammatik,"(O) - LLM känns lite fel, som att ""ingen"" i detta fallet syftar till föremål snarare än individer.",,"grammatiskt, ordval","['-By name, like everybody.'
 'Luckily, François was around and he arrested them.'
 'Is François in his office?' '-No.'
 'Young people need their 8 hours of sleep.']","['-Give them local anaesthesia.' ""Didn't I let those two go?""
 '-Straight away, they assault a receiver.' 'Albert Le Fourgue.'
 'Do you know him?' '-By name, like everybody.'
 'Luckily, François was around and he arrested them.'
 'Is François in his office?' '-No.'
 'Young people need their 8 hours of sleep.']"
You take your job too seriously.,Du tar ditt jobb för allvarligt.,Du tar ditt jobb på för stort allvar,Du tar ditt jobb på alldeles för stort allvar.,['DIR' 'GR' 'PR'],LLM WORSE,['ADD' 'SEM'],Syftar till att någon tar sitt jobb på för stort allvar,Omformulering enligt svensk språkkänsla och grammatik,"(O) - LLM lägger till onödig förstärkning med ""alldeles"".",,"Grammatiskt, ordval","['Young people need their 8 hours of sleep.' ""There's nobody left.""
 'Did he write a report?' 'You should dry your tears and go home.'
 'I have work to do.']","['Do you know him?' '-By name, like everybody.'
 'Luckily, François was around and he arrested them.'
 'Is François in his office?' '-No.'
 'Young people need their 8 hours of sleep.' ""There's nobody left.""
 'Did he write a report?' 'You should dry your tears and go home.'
 'I have work to do.']"
"Well, that's me.",Det är jag.,"Tja, det är jag det","Tja, sån är jag.",['SAK' 'SEM'],LLM OK,[],Syftar till att inflika att det är sådan man är som person,Humoristisk fras som anspelar på hur man är som person – omformulering med svensk motsvarighet,(O) - AÖ låter mer naturlig.,,semantiskt,"[""There's nobody left."" 'Did he write a report?'
 'You should dry your tears and go home.' 'I have work to do.'
 '-You take your job too seriously.']","['-By name, like everybody.'
 'Luckily, François was around and he arrested them.'
 'Is François in his office?' '-No.'
 'Young people need their 8 hours of sleep.' ""There's nobody left.""
 'Did he write a report?' 'You should dry your tears and go home.'
 'I have work to do.' '-You take your job too seriously.']"
I'm glad you recognized her.,Jag är glad att du kände igen henne.,Vad bra att du kände igen henne,Jag är glad att du kände igen henne.,['DIR' 'PR'],LLM WORSE,['DIR' 'PR'],Syftar till att det är positivt att personen känner igen henne,Vid uttryck av glädje i formell kontext använder svenskan inte egna känslor,(O) - LLM använder egna känslor,,Semantiskt,"[""Well, that's me."" 'Come with me, everybody.' 'Good evening.' 'This one.'
 ""She's François' fiancée.""]","[""There's nobody left."" 'Did he write a report?'
 'You should dry your tears and go home.' 'I have work to do.'
 '-You take your job too seriously.' ""Well, that's me.""
 'Come with me, everybody.' 'Good evening.' 'This one.'
 ""She's François' fiancée.""]"
We would have made a big mistake.,Vi skulle ha gjort ett stort misstag.,Vi kunde begått ett stort misstag,Vi hade begått ett stort misstag.,['LF' 'BET'],LLM WORSE,['SEM'],Syftar till att de hade begått ett misstag givet den nya informationen,Omformulering för att fånga upp det som menas,(O) - LLM funkar lika bra,,semantiskt,"['Come with me, everybody.' 'Good evening.' 'This one.'
 ""She's François' fiancée."" ""-I'm glad you recognized her.""]","['Did he write a report?' 'You should dry your tears and go home.'
 'I have work to do.' '-You take your job too seriously.'
 ""Well, that's me."" 'Come with me, everybody.' 'Good evening.' 'This one.'
 ""She's François' fiancée."" ""-I'm glad you recognized her.""]"
Take her with you.,Ta henne med dig.,Ta med henne,Ta med henne.,['DIR' 'PR'],LLM OK,[],Syftar till att personen ska ta med sig henne,Omformulering enligt svensk språkkänsla,,,grammatiskt,"['Good evening.' 'This one.' ""She's François' fiancée.""
 ""-I'm glad you recognized her."" 'We would have made a big mistake.']","['You should dry your tears and go home.' 'I have work to do.'
 '-You take your job too seriously.' ""Well, that's me.""
 'Come with me, everybody.' 'Good evening.' 'This one.'
 ""She's François' fiancée."" ""-I'm glad you recognized her.""
 'We would have made a big mistake.']"
